,Anomalies(#),Blockade(#),RemoraAttacks(#),Time,index
20,20,9,11,404.0,14
21,21,10,11,401.0,14
22,22,10,12,383.0,14
23,23,10,13,376.0,14
24,24,10,14,353.0,14
25,25,10,15,338.0,14
26,26,10,16,326.0,14
27,27,10,17,306.0,14
28,28,11,17,284.0,14
29,29,11,18,279.0,14
30,30,12,18,272.0,14
31,31,13,18,253.0,14
32,32,14,18,246.0,14
33,33,14,19,238.0,14
34,34,15,19,222.0,14
35,35,15,20,217.0,14
36,36,16,20,207.0,14
37,37,16,21,205.0,14
38,38,16,22,167.0,14
39,39,17,22,162.0,14
40,41,18,23,152.0,14
41,42,18,24,128.0,14
42,43,18,25,24.0,14
0,0,0,0,599.0,15
1,1,0,1,586.0,15
2,2,1,1,580.0,15
3,3,2,1,569.0,15
4,4,2,2,568.0,15
5,5,3,2,561.0,15
6,6,4,2,555.0,15
7,7,4,3,554.0,15
8,8,5,3,546.0,15
9,9,5,4,540.0,15
10,10,6,4,538.0,15
11,11,6,5,532.0,15
12,12,6,6,517.0,15
13,13,6,7,487.0,15
14,14,6,8,464.0,15
15,15,6,9,445.0,15
16,16,6,10,422.0,15
17,17,6,11,409.0,15
18,18,7,11,404.0,15
19,19,8,11,391.0,15
20,20,8,12,390.0,15
21,21,8,13,384.0,15
22,22,8,14,362.0,15
23,23,8,15,345.0,15
24,24,8,16,334.0,15
25,25,9,16,318.0,15
26,26,9,17,315.0,15
27,27,10,17,311.0,15
28,28,11,17,286.0,15
29,29,11,18,284.0,15
30,30,12,18,268.0,15
31,31,12,19,241.0,15
32,32,12,20,220.0,15
33,33,12,21,209.0,15
34,34,12,22,145.0,15
35,35,12,23,111.0,15
36,36,12,24,55.0,15
0,0,0,0,599.0,16
1,1,0,1,584.0,16
2,2,1,1,581.0,16
3,3,2,1,567.0,16
4,4,2,2,566.0,16
5,5,3,2,559.0,16
6,6,4,2,553.0,16
7,7,4,3,552.0,16
8,8,5,3,545.0,16
9,9,5,4,537.0,16
10,10,5,5,528.0,16
11,11,5,6,515.0,16
12,12,6,6,513.0,16
13,13,6,7,484.0,16
14,14,6,8,461.0,16
15,15,6,9,442.0,16
16,16,6,10,418.0,16
17,17,7,10,415.0,16
18,18,7,11,406.0,16
19,19,8,11,402.0,16
20,20,8,12,386.0,16
21,21,8,13,379.0,16
22,22,8,14,357.0,16
23,23,8,15,341.0,16
24,24,9,15,330.0,16
25,25,9,16,329.0,16
26,26,10,16,323.0,16
27,27,10,17,313.0,16
28,28,11,17,301.0,16
29,29,11,18,290.0,16
30,30,11,19,234.0,16
31,31,12,19,226.0,16
32,32,12,20,212.0,16
33,33,13,20,205.0,16
34,34,13,21,198.0,16
35,35,13,22,132.0,16
36,36,13,23,95.0,16
37,37,13,24,33.0,16
0,0,0,0,599.0,17
1,1,1,0,591.0,17
2,2,1,1,587.0,17
3,3,1,2,569.0,17
4,4,1,3,556.0,17
5,5,1,4,548.0,17
6,6,1,5,535.0,17
7,7,1,6,521.0,17
8,8,2,6,511.0,17
9,9,2,7,489.0,17
10,10,3,7,484.0,17
11,11,4,7,470.0,17
12,12,4,8,468.0,17
13,13,4,9,448.0,17
14,14,5,9,434.0,17
15,15,5,10,430.0,17
16,16,5,11,411.0,17
17,17,6,11,403.0,17
18,18,6,12,389.0,17
19,19,6,13,382.0,17
20,20,6,14,360.0,17
21,21,7,14,348.0,17
22,22,7,15,345.0,17
23,23,7,16,332.0,17
24,24,8,16,320.0,17
25,25,8,17,316.0,17
26,26,9,17,308.0,17
27,27,9,18,294.0,17
28,28,10,18,285.0,17
29,29,11,18,261.0,17
30,30,12,18,250.0,17
31,31,12,19,240.0,17
32,32,13,19,234.0,17
33,33,13,20,218.0,17
34,34,13,21,207.0,17
35,35,14,21,194.0,17
36,36,15,21,179.0,17
37,37,15,22,166.0,17
38,38,15,23,148.0,17
39,39,15,24,90.0,17
0,0,0,0,599.0,18
1,1,1,0,591.0,18
2,2,1,1,586.0,18
