,Anomalies(#),Blockade(#),DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Goals(#),Hotspots(Positions),RemoraAttacks(#),SurveyedGoals(#),SurveyedGoals(Positions),Time,index
25,0,0,0,,25,Tx3y1;Tx1y3,0,25,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx2y2,324.0,2
0,0,0,0,,0,,0,0,,599.0,3
1,0,0,0,,1,,0,1,Tx2y0,592.0,3
2,0,0,0,,2,,0,2,Tx1y0;Tx2y0,584.0,3
3,0,0,0,,3,,0,3,Tx1y0;Tx2y0;Tx3y0,573.0,3
4,0,0,0,,4,Tx3y1,0,4,Tx1y0;Tx3y1;Tx2y0;Tx3y0,566.0,3
5,0,0,0,,5,Tx3y1,0,5,Tx1y0;Tx3y1;Tx3y2;Tx2y0;Tx3y0,558.0,3
6,0,0,0,,6,Tx3y1,0,6,Tx1y0;Tx4y1;Tx3y1;Tx3y2;Tx2y0;Tx3y0,547.0,3
7,0,0,0,,7,Tx3y1,0,7,Tx2y1;Tx1y0;Tx4y1;Tx3y1;Tx3y2;Tx2y0;Tx3y0,537.0,3
8,0,0,0,,8,Tx3y1,0,8,Tx4y1;Tx4y0;Tx2y1;Tx3y1;Tx3y2;Tx3y0;Tx1y0;Tx2y0,525.0,3
9,0,0,0,,9,Tx3y1,0,9,Tx4y1;Tx4y0;Tx2y1;Tx3y1;Tx3y2;Tx3y0;Tx1y0;Tx2y0;Tx1y1,512.0,3
10,0,0,0,,10,Tx3y1,0,10,Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y2;Tx3y0;Tx1y0;Tx2y0;Tx1y1,503.0,3
11,0,0,0,,11,Tx3y1,0,11,Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y0;Tx1y0;Tx2y0;Tx1y1,496.0,3
12,0,0,0,,12,Tx3y1,0,12,Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx0y2;Tx3y0;Tx1y0;Tx2y0;Tx1y1,488.0,3
13,0,0,0,,13,Tx1y3;Tx3y1,0,13,Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx0y2;Tx3y0;Tx1y0;Tx2y0;Tx1y3;Tx1y1,478.0,3
14,0,0,0,,14,Tx1y3;Tx3y1,0,14,Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx0y2;Tx3y0;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1,471.0,3
15,0,0,0,,15,Tx1y3;Tx3y1,0,15,Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx0y2;Tx3y0;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1,460.0,3
16,0,0,0,,16,Tx1y3;Tx3y1,0,16,Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx0y2;Tx3y0;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1,450.0,3
17,0,0,0,,17,Tx1y3;Tx3y1,0,17,Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx0y2;Tx3y0;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1,435.0,3
18,0,0,0,,18,Tx1y3;Tx3y1,0,18,Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx0y2;Tx3y3;Tx3y0;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1,421.0,3
19,0,0,0,,19,Tx3y1;Tx1y3,0,19,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1,412.0,3
20,0,0,0,,20,Tx3y1;Tx1y3,0,20,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1,403.0,3
21,0,0,0,,21,Tx3y1;Tx1y3,0,21,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx1y3;Tx1y4;Tx1y1,392.0,3
22,0,0,0,,22,Tx3y1;Tx1y3,0,22,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y2;Tx1y3;Tx1y4;Tx1y1,374.0,3
23,0,0,0,,23,Tx3y1;Tx1y3,0,23,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1,366.0,3
24,0,0,0,,24,Tx3y1;Tx1y3,0,24,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1,347.0,3
25,0,0,0,,25,Tx3y1;Tx1y3,0,25,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1,328.0,3
0,0,0,0,,0,,0,0,,599.0,4
1,0,0,0,,1,,0,1,Tx0y1,592.0,4
2,0,0,0,,2,,0,2,Tx0y0;Tx0y1,584.0,4
3,0,0,0,,3,,0,3,Tx0y0;Tx0y1;Tx1y1,574.0,4
4,0,0,0,,4,,0,4,Tx2y1;Tx0y0;Tx0y1;Tx1y1,566.0,4
5,0,0,0,,5,,0,5,Tx2y1;Tx0y0;Tx0y1;Tx2y2;Tx1y1,558.0,4
